"","temperatuurklasse","sneeuwtype","lawine_alarm"
"1","hoog","nat","licht"
"2","hoog","nat","licht"
"3","gemiddeld","droog","licht"
"4","laag","nat","licht"
"5","hoog","nat","licht"
"6","laag","droog","licht"
"7","laag","nat","sterk"
"8","gemiddeld","droog","licht"
"9","gemiddeld","droog","sterk"
"10","hoog","droog","licht"
"11","hoog","droog","licht"
"12","hoog","nat","licht"
"13","gemiddeld","droog","licht"
"14","hoog","nat","licht"
"15","laag","droog","licht"
"16","gemiddeld","droog","licht"
"17","gemiddeld","droog","licht"
"18","laag","droog","licht"
"19","hoog","nat","licht"
"20","laag","nat","licht"
"21","laag","droog","licht"
"22","hoog","nat","licht"
"23","gemiddeld","droog","licht"
"24","hoog","droog","licht"
"25","hoog","nat","licht"
"26","hoog","droog","licht"
"27","hoog","droog","licht"
"28","hoog","nat","licht"
"29","laag","nat","sterk"
"30","hoog","droog","licht"
"31","gemiddeld","nat","licht"
"32","gemiddeld","droog","sterk"
"33","gemiddeld","droog","licht"
"34","hoog","droog","licht"
"35","laag","nat","licht"
"36","gemiddeld","droog","licht"
"37","laag","droog","licht"
"38","hoog","droog","licht"
"39","gemiddeld","droog","licht"
"40","gemiddeld","nat","sterk"
"41","laag","droog","licht"
"42","gemiddeld","nat","licht"
"43","laag","droog","sterk"
"44","gemiddeld","droog","sterk"
"45","gemiddeld","droog","sterk"
"46","laag","droog","licht"
"47","hoog","droog","licht"
"48","gemiddeld","nat","licht"
"49","gemiddeld","droog","licht"
"50","gemiddeld","nat","sterk"
"51","gemiddeld","droog","licht"
"52","laag","droog","licht"
"53","gemiddeld","droog","licht"
"54","hoog","droog","licht"
"55","hoog","droog","licht"
"56","hoog","droog","licht"
"57","hoog","nat","licht"
"58","gemiddeld","droog","licht"
"59","gemiddeld","nat","sterk"
"60","gemiddeld","droog","licht"
"61","laag","droog","licht"
"62","hoog","droog","licht"
"63","gemiddeld","droog","licht"
"64","hoog","nat","sterk"
"65","gemiddeld","droog","licht"
"66","hoog","nat","licht"
"67","gemiddeld","nat","licht"
"68","laag","droog","licht"
"69","hoog","droog","licht"
"70","laag","droog","licht"
"71","hoog","nat","licht"
"72","laag","droog","licht"
"73","hoog","nat","licht"
"74","hoog","droog","licht"
"75","gemiddeld","droog","licht"
"76","laag","droog","licht"
"77","laag","droog","licht"
"78","hoog","droog","licht"
"79","laag","nat","licht"
"80","laag","nat","licht"
"81","gemiddeld","droog","licht"
"82","gemiddeld","nat","licht"
"83","hoog","droog","licht"
"84","hoog","nat","licht"
"85","laag","droog","licht"
"86","hoog","nat","sterk"
"87","gemiddeld","nat","sterk"
"88","hoog","droog","sterk"
"89","hoog","droog","licht"
"90","hoog","droog","licht"
"91","hoog","nat","licht"
"92","hoog","droog","licht"
"93","gemiddeld","droog","licht"
"94","laag","droog","licht"
"95","laag","nat","licht"
"96","laag","droog","licht"
"97","gemiddeld","droog","licht"
"98","gemiddeld","droog","licht"
"99","laag","droog","licht"
"100","gemiddeld","nat","licht"
"101","gemiddeld","nat","licht"
"102","hoog","droog","licht"
"103","hoog","nat","licht"
"104","laag","nat","licht"
"105","gemiddeld","nat","licht"
"106","hoog","droog","licht"
"107","hoog","droog","licht"
"108","gemiddeld","droog","licht"
"109","laag","droog","licht"
"110","gemiddeld","droog","sterk"
"111","laag","droog","sterk"
"112","gemiddeld","nat","sterk"
"113","hoog","nat","licht"
"114","gemiddeld","nat","licht"
"115","hoog","droog","licht"
"116","hoog","nat","sterk"
"117","gemiddeld","droog","licht"
"118","hoog","nat","licht"
"119","gemiddeld","droog","licht"
"120","gemiddeld","droog","sterk"
"121","laag","droog","licht"
"122","gemiddeld","droog","licht"
"123","gemiddeld","nat","licht"
"124","hoog","droog","licht"
"125","laag","droog","licht"
"126","gemiddeld","nat","sterk"
"127","gemiddeld","droog","licht"
"128","hoog","droog","licht"
"129","hoog","nat","sterk"
"130","gemiddeld","nat","licht"
"131","gemiddeld","droog","licht"
"132","hoog","nat","licht"
"133","hoog","nat","sterk"
"134","gemiddeld","droog","licht"
"135","laag","nat","sterk"
"136","gemiddeld","droog","licht"
"137","gemiddeld","droog","licht"
"138","gemiddeld","nat","licht"
"139","laag","droog","licht"
"140","gemiddeld","droog","licht"
"141","gemiddeld","droog","licht"
"142","gemiddeld","nat","licht"
"143","hoog","nat","sterk"
"144","hoog","droog","licht"
"145","gemiddeld","droog","licht"
"146","gemiddeld","nat","licht"
"147","hoog","nat","sterk"
"148","gemiddeld","droog","licht"
"149","hoog","nat","licht"
"150","laag","droog","sterk"
"151","gemiddeld","droog","sterk"
"152","gemiddeld","droog","licht"
"153","hoog","nat","licht"
"154","gemiddeld","nat","licht"
"155","gemiddeld","droog","licht"
"156","hoog","droog","licht"
"157","gemiddeld","nat","licht"
"158","hoog","droog","licht"
"159","hoog","nat","licht"
"160","hoog","droog","licht"
